stage,hp,power,regen,damage_reduction,evade_chance,special_chance,special_damage,speed,special_chance_capped,special_damage_capped
1,13,3.2,0,0,0,0.0326,1.218025,4.524,False,False
2,17,3.9,0.08,0,0,0.033,1.22605,4.518,False,False
3,21,4.6,0.16,0,0,0.0334,1.234075,4.512,False,False
4,25,5.3,0.24,0,0,0.0338,1.2421,4.506,False,False
5,29,6.0,0.32,0,0,0.0342,1.250125,4.5,False,False
6,33,6.7,0.4,0,0,0.0346,1.25815,4.494,False,False
7,37,7.4,0.48,0,0,0.035,1.266175,4.488,False,False
8,41,8.1,0.56,0,0,0.0354,1.2742,4.482,False,False
9,45,8.8,0.64,0,0,0.0358,1.282225,4.476,False,False
10,49,9.5,0.72,0,0,0.0362,1.29025,4.47,False,False
11,53,10.2,0.8,0,0,0.0366,1.298275,4.464,False,False
12,57,10.9,0.88,0,0,0.037,1.3063,4.458,False,False
13,61,11.6,0.96,0,0,0.0374,1.314325,4.452,False,False
14,65,12.3,1.04,0,0,0.0378,1.32235,4.446,False,False
15,69,13.0,1.12,0,0,0.0382,1.330375,4.44,False,False
16,73,13.7,1.2,0,0,0.0386,1.3384,4.434,False,False
17,77,14.4,1.28,0,0,0.039,1.346425,4.428,False,False
18,81,15.1,1.36,0,0,0.0394,1.35445,4.422,False,False
19,85,15.8,1.44,0,0,0.0398,1.362475,4.416,False,False
20,89,16.5,1.52,0,0,0.0402,1.3705,4.41,False,False
21,93,17.2,1.6,0,0,0.0406,1.378525,4.404,False,False
22,97,17.9,1.68,0,0,0.041,1.38655,4.398,False,False
23,101,18.6,1.76,0,0,0.0414,1.394575,4.392,False,False
24,105,19.3,1.84,0,0,0.0418,1.4026,4.386,False,False
25,109,20.0,1.92,0,0,0.0422,1.410625,4.38,False,False
26,113,20.7,2.0,0,0,0.0426,1.41865,4.374,False,False
27,117,21.4,2.08,0,0,0.043,1.426675,4.368,False,False
28,121,22.1,2.16,0,0,0.0434,1.4347,4.362,False,False
29,125,22.8,2.24,0,0,0.0438,1.442725,4.356,False,False
30,129,23.5,2.32,0,0,0.0442,1.45075,4.35,False,False
31,133,24.2,2.4,0,0,0.0446,1.458775,4.344,False,False
32,137,24.9,2.48,0,0,0.045,1.4668,4.338,False,False
33,141,25.6,2.56,0,0,0.0454,1.474825,4.332,False,False
34,145,26.3,2.64,0,0,0.0458,1.48285,4.326,False,False
35,149,27.0,2.72,0,0,0.0462,1.490875,4.32,False,False
36,153,27.7,2.8,0,0,0.0466,1.4989,4.314,False,False
