hunter,stage,hp,power,regen,damage_reduction,evade_chance,special_chance,special_damage,speed,special_chance_capped,special_damage_capped
Borge,1,13,3.2,0,0,0,0.0326,1.218025,4.524,False,False
Borge,10,49,9.5,0.72,0,0,0.0362,1.29025,4.47,False,False
Borge,25,109,20.0,1.92,0,0,0.0422,1.410625,4.38,False,False
Borge,50,209,37.5,3.92,0,0,0.0522,1.61125,4.23,False,False
Borge,75,309,55.0,5.92,0,0,0.0622,1.811875,4.08,False,False
Borge,99,405,71.8,7.84,0,0,0.0718,2.004475,3.936,False,False
Borge,100,409,72.5,7.92,0,0,0.0722,2.0125,3.93,False,False
Borge,101,1177.05,208.62,8.416,0,0.004,0.0726,2.020525,3.924,False,False
Borge,125,1450.65,256.5,10.4358,0,0.004,0.0822,2.213125,3.78,False,False
Borge,149,1724.25,304.38,12.4557,0,0.004,0.0918,2.405725,3.636,False,False
Borge,150,1746.0639,308.2133,12.6151,0,0.004,0.0922,2.41375,3.63,False,False
Borge,175,2335.8714,411.825,16.9283,0,0.004,0.1022,2.5,3.48,False,True
Borge,199,2982.525,525.369,21.6628,0,0.004,0.1118,2.5,3.336,False,True
Borge,200,3011.1789,530.3993,21.8727,0,0.004,0.1122,2.5,3.33,False,True
Borge,225,3771.9864,663.936,27.4483,0,0.004,0.1222,2.5,3.18,False,True
Borge,250,4618.2939,812.4352,33.6551,0,0.004,0.1322,2.5,3.03,False,True
Borge,275,5550.1014,975.897,40.4931,0,0.004,0.1422,2.5,2.88,False,True
Borge,300,9689.1678,1154.3213,47.9623,0,0.004,0.1522,2.5,2.73,False,True
Ozzy,1,17,2.1,0.02,0,0,0.1,1.038,3.196,False,False
Ozzy,10,71,8.85,0.92,0,0,0.1054,1.11,3.16,False,False
Ozzy,25,161,20.1,2.42,0,0,0.1144,1.23,3.1,False,False
Ozzy,50,311,38.85,4.92,0,0,0.1294,1.43,3.0,False,False
Ozzy,75,461,57.6,7.42,0,0,0.1444,1.63,2.9,False,False
Ozzy,99,605,75.6,9.82,0,0,0.1588,1.822,2.804,False,False
Ozzy,100,611,76.35,9.92,0,0,0.1594,1.83,2.8,False,False
Ozzy,101,1789.3,208.17,12.525,0,0.01,0.16,1.838,2.796,False,False
Ozzy,125,2206.9,256.77,15.525,0,0.01,0.1744,2.03,2.7,False,False
Ozzy,149,2624.5,305.37,18.525,0,0.01,0.1888,2.222,2.604,False,False
Ozzy,150,2657.7514,309.2394,18.7619,0,0.01,0.1894,2.23,2.6,False,False
Ozzy,175,3556.8964,413.8711,25.1719,0,0.01,0.2044,2.43,2.5,False,False
Ozzy,199,4542.85,528.606,32.2075,0,0.01,0.2188,2.5,2.404,False,True
Ozzy,200,4586.5414,533.6904,32.5194,0,0.01,0.2194,2.5,2.4,False,True
Ozzy,225,5746.6864,668.6971,40.8044,0,0.01,0.2344,2.5,2.3,False,True
Ozzy,250,7037.3314,818.8914,50.0269,0,0.01,0.2494,2.5,2.2,False,True
Ozzy,275,8458.4764,984.2731,60.1869,0,0.01,0.25,2.5,2.1,True,True
Ozzy,300,14768.3428,1164.8424,71.2844,0,0.01,0.25,2.5,2.0,True,True
