stage,hp,power,regen,damage_reduction,evade_chance,special_chance,special_damage,speed,special_chance_capped,special_damage_capped
1,16,3.8,0.04,0,0.01,0.1,1.04,6,false,false
2,25,5.2,0.08,0,0.01,0.1006,1.048,5.995,false,false
3,34,6.6,0.12,0,0.01,0.1012,1.056,5.99,false,false
4,43,8,0.16,0,0.01,0.1018,1.064,5.985,false,false
5,52,9.4,0.2,0,0.01,0.1024,1.072,5.98,false,false
6,61,10.8,0.24,0,0.01,0.103,1.08,5.975,false,false
7,70,12.2,0.28,0,0.01,0.1036,1.088,5.97,false,false
8,79,13.6,0.32,0,0.01,0.1042,1.096,5.965,false,false
9,88,15,0.36,0,0.01,0.1048,1.104,5.96,false,false
10,97,16.4,0.4,0,0.01,0.1054,1.112,5.955,false,false
11,106,17.8,0.44,0,0.01,0.106,1.12,5.95,false,false
12,115,19.2,0.48,0,0.01,0.1066,1.128,5.945,false,false
13,124,20.6,0.52,0,0.01,0.1072,1.136,5.94,false,false
14,133,22,0.56,0,0.01,0.1078,1.144,5.935,false,false
15,142,23.4,0.6,0,0.01,0.1084,1.152,5.93,false,false
16,151,24.8,0.64,0,0.01,0.109,1.16,5.925,false,false
17,160,26.2,0.68,0,0.01,0.1096,1.168,5.92,false,false
18,169,27.6,0.72,0,0.01,0.1102,1.176,5.915,false,false
19,178,29,0.76,0,0.01,0.1108,1.184,5.91,false,false
20,187,30.4,0.8,0,0.01,0.1114,1.192,5.905,false,false
21,196,31.8,0.84,0,0.01,0.112,1.2,5.9,false,false
22,205,33.2,0.88,0,0.01,0.1126,1.208,5.895,false,false
23,214,34.6,0.92,0,0.01,0.1132,1.216,5.89,false,false
24,223,36,0.96,0,0.01,0.1138,1.224,5.885,false,false
25,232,37.4,1,0,0.01,0.1144,1.232,5.88,false,false
26,241,38.8,1.04,0,0.01,0.115,1.24,5.875,false,false
27,250,40.2,1.08,0,0.01,0.1156,1.248,5.87,false,false
28,259,41.6,1.12,0,0.01,0.1162,1.256,5.865,false,false
29,268,43,1.16,0,0.01,0.1168,1.264,5.86,false,false
30,277,44.4,1.2,0,0.01,0.1174,1.272,5.855,false,false
31,286,45.8,1.24,0,0.01,0.118,1.28,5.85,false,false
32,295,47.2,1.28,0,0.01,0.1186,1.288,5.845,false,false
33,304,48.6,1.32,0,0.01,0.1192,1.296,5.84,false,false
34,313,50,1.36,0,0.01,0.1198,1.304,5.835,false,false
35,322,51.4,1.4,0,0.01,0.1204,1.312,5.83,false,false
36,331,52.8,1.44,0,0.01,0.121,1.32,5.825,false,false
37,340,54.2,1.48,0,0.01,0.1216,1.328,5.82,false,false
38,349,55.6,1.52,0,0.01,0.1222,1.336,5.815,false,false
39,358,57,1.56,0,0.01,0.1228,1.344,5.81,false,false
40,367,58.4,1.6,0,0.01,0.1234,1.352,5.805,false,false
41,376,59.8,1.64,0,0.01,0.124,1.36,5.8,false,false
42,385,61.2,1.68,0,0.01,0.1246,1.368,5.795,false,false
43,394,62.6,1.72,0,0.01,0.1252,1.376,5.79,false,false
44,403,64,1.76,0,0.01,0.1258,1.384,5.785,false,false
45,412,65.4,1.8,0,0.01,0.1264,1.392,5.78,false,false
46,421,66.8,1.84,0,0.01,0.127,1.4,5.775,false,false
47,430,68.2,1.88,0,0.01,0.1276,1.408,5.77,false,false
48,439,69.6,1.92,0,0.01,0.1282,1.416,5.765,false,false
49,448,71,1.96,0,0.01,0.1288,1.424,5.76,false,false
50,459.742,72.8344,2.012,0,0.01,0.1294,1.432,5.755,false,false
51,471.592,74.6856,2.0645,0,0.01,0.13,1.44,5.75,false,false
52,483.55,76.5536,2.1174,0,0.01,0.1306,1.448,5.745,false,false
53,495.616,78.4384,2.1709,0,0.01,0.1312,1.456,5.74,false,false
54,507.79,80.34,2.2248,0,0.01,0.1318,1.464,5.735,false,false
55,520.072,82.2584,2.2792,0,0.01,0.1324,1.472,5.73,false,false
56,532.462,84.1936,2.3341,0,0.01,0.133,1.48,5.725,false,false
57,544.96,86.1456,2.3894,0,0.01,0.1336,1.488,5.72,false,false
58,557.566,88.1144,2.4453,0,0.01,0.1342,1.496,5.715,false,false
59,570.28,90.1,2.5016,0,0.01,0.1348,1.504,5.71,false,false
60,583.102,92.1024,2.5584,0,0.01,0.1354,1.512,5.705,false,false
61,596.032,94.1216,2.6157,0,0.01,0.136,1.52,5.7,false,false
62,609.07,96.1576,2.6734,0,0.01,0.1366,1.528,5.695,false,false
63,622.216,98.2104,2.7317,0,0.01,0.1372,1.536,5.69,false,false
64,635.47,100.28,2.7904,0,0.01,0.1378,1.544,5.685,false,false
65,648.832,102.3664,2.8496,0,0.01,0.1384,1.552,5.68,false,false
66,662.302,104.4696,2.9093,0,0.01,0.139,1.56,5.675,false,false
67,675.88,106.5896,2.9694,0,0.01,0.1396,1.568,5.67,false,false
68,689.566,108.7264,3.0301,0,0.01,0.1402,1.576,5.665,false,false
69,703.36,110.88,3.0912,0,0.01,0.1408,1.584,5.66,false,false
70,717.262,113.0504,3.1528,0,0.01,0.1414,1.592,5.655,false,false
71,731.272,115.2376,3.2149,0,0.01,0.142,1.6,5.65,false,false
72,745.39,117.4416,3.2774,0,0.01,0.1426,1.608,5.645,false,false
73,759.616,119.6624,3.3405,0,0.01,0.1432,1.616,5.64,false,false
74,773.95,121.9,3.404,0,0.01,0.1438,1.624,5.635,false,false
75,788.392,124.1544,3.468,0,0.01,0.1444,1.632,5.63,false,false
76,802.942,126.4256,3.5325,0,0.01,0.145,1.64,5.625,false,false
77,817.6,128.7136,3.5974,0,0.01,0.1456,1.648,5.62,false,false
78,832.366,131.0184,3.6629,0,0.01,0.1462,1.656,5.615,false,false
79,847.24,133.34,3.7288,0,0.01,0.1468,1.664,5.61,false,false
80,862.222,135.6784,3.7952,0,0.01,0.1474,1.672,5.605,false,false
81,877.312,138.0336,3.8621,0,0.01,0.148,1.68,5.6,false,false
82,892.51,140.4056,3.9294,0,0.01,0.1486,1.688,5.595,false,false
83,907.816,142.7944,3.9973,0,0.01,0.1492,1.696,5.59,false,false
84,923.23,145.2,4.0656,0,0.01,0.1498,1.704,5.585,false,false
85,938.752,147.6224,4.1344,0,0.01,0.1504,1.712,5.58,false,false
86,954.382,150.0616,4.2037,0,0.01,0.151,1.72,5.575,false,false
87,970.12,152.5176,4.2734,0,0.01,0.1516,1.728,5.57,false,false
88,985.966,154.9904,4.3437,0,0.01,0.1522,1.736,5.565,false,false
89,1001.92,157.48,4.4144,0,0.01,0.1528,1.744,5.56,false,false
90,1017.982,159.9864,4.4856,0,0.01,0.1534,1.752,5.555,false,false
91,1034.152,162.5096,4.5573,0,0.01,0.154,1.76,5.55,false,false
92,1050.43,165.0496,4.6294,0,0.01,0.1546,1.768,5.545,false,false
93,1066.816,167.6064,4.7021,0,0.01,0.1552,1.776,5.54,false,false
