stage,hp,power,regen,damage_reduction,evade_chance,special_chance,special_damage,speed,special_chance_capped,special_damage_capped
1,17,2.1,0.02,0,0,0.1,1.038,3.196,False,False
2,23,2.85,0.12,0,0,0.1006,1.046,3.192,False,False
3,29,3.6,0.22,0,0,0.1012,1.054,3.188,False,False
4,35,4.35,0.32,0,0,0.1018,1.062,3.184,False,False
5,41,5.1,0.42,0,0,0.1024,1.07,3.18,False,False
6,47,5.85,0.52,0,0,0.103,1.078,3.176,False,False
7,53,6.6,0.62,0,0,0.1036,1.086,3.172,False,False
8,59,7.35,0.72,0,0,0.1042,1.094,3.168,False,False
9,65,8.1,0.82,0,0,0.1048,1.102,3.164,False,False
10,71,8.85,0.92,0,0,0.1054,1.11,3.16,False,False
11,77,9.6,1.02,0,0,0.106,1.118,3.156,False,False
12,83,10.35,1.12,0,0,0.1066,1.126,3.152,False,False
13,89,11.1,1.22,0,0,0.1072,1.134,3.148,False,False
14,95,11.85,1.32,0,0,0.1078,1.142,3.144,False,False
15,101,12.6,1.42,0,0,0.1084,1.15,3.14,False,False
16,107,13.35,1.52,0,0,0.109,1.158,3.136,False,False
17,113,14.1,1.62,0,0,0.1096,1.166,3.132,False,False
18,119,14.85,1.72,0,0,0.1102,1.174,3.128,False,False
19,125,15.6,1.82,0,0,0.1108,1.182,3.124,False,False
20,131,16.35,1.92,0,0,0.1114,1.19,3.12,False,False
21,137,17.1,2.02,0,0,0.112,1.198,3.116,False,False
22,143,17.85,2.12,0,0,0.1126,1.206,3.112,False,False
23,149,18.6,2.22,0,0,0.1132,1.214,3.108,False,False
24,155,19.35,2.32,0,0,0.1138,1.222,3.104,False,False
25,161,20.1,2.42,0,0,0.1144,1.23,3.1,False,False
26,167,20.85,2.52,0,0,0.115,1.238,3.096,False,False
27,173,21.6,2.62,0,0,0.1156,1.246,3.092,False,False
28,179,22.35,2.72,0,0,0.1162,1.254,3.088,False,False
29,185,23.1,2.82,0,0,0.1168,1.262,3.084,False,False
30,191,23.85,2.92,0,0,0.1174,1.27,3.08,False,False
31,197,24.6,3.02,0,0,0.118,1.278,3.076,False,False
32,203,25.35,3.12,0,0,0.1186,1.286,3.072,False,False
33,209,26.1,3.22,0,0,0.1192,1.294,3.068,False,False
34,215,26.85,3.32,0,0,0.1198,1.302,3.064,False,False
35,221,27.6,3.42,0,0,0.1204,1.31,3.06,False,False
36,227,28.35,3.52,0,0,0.121,1.318,3.056,False,False
37,233,29.1,3.62,0,0,0.1216,1.326,3.052,False,False
38,239,29.85,3.72,0,0,0.1222,1.334,3.048,False,False
39,245,30.6,3.82,0,0,0.1228,1.342,3.044,False,False
40,251,31.35,3.92,0,0,0.1234,1.35,3.04,False,False
41,257,32.1,4.02,0,0,0.124,1.358,3.036,False,False
42,263,32.85,4.12,0,0,0.1246,1.366,3.032,False,False
